[ 2025-09-22 16:27:47,433 ] 60 root - INFO - Loaded JSON data from '../BENCHMARKING/ROSMAP/miRNA_data/ML-Baseline.json'
[ 2025-09-22 16:28:22,067 ] 60 root - INFO - Loaded JSON data from '../BENCHMARKING/ROSMAP/miRNA_data/ML-Baseline.json'
[ 2025-09-22 16:28:57,305 ] 60 root - INFO - Loaded JSON data from '../BENCHMARKING/ROSMAP/dna_methylation_data/ML-Baseline.json'
[ 2025-09-22 16:32:37,296 ] 60 root - INFO - Loaded JSON data from '../BENCHMARKING/ROSMAP/miRNA_data/ML-Baseline.json'
[ 2025-09-22 16:33:06,591 ] 60 root - INFO - Loaded JSON data from '../BENCHMARKING/ROSMAP/dna_methylation_data/ML-Baseline.json'
[ 2025-09-22 16:35:07,139 ] 60 root - INFO - Loaded JSON data from '../BENCHMARKING/ROSMAP/miRNA_data/ML-Baseline.json'
[ 2025-09-22 16:35:36,530 ] 60 root - INFO - Loaded JSON data from '../BENCHMARKING/ROSMAP/dna_methylation_data/ML-Baseline.json'
[ 2025-09-22 16:35:36,594 ] 60 root - INFO - Loaded JSON data from '../BENCHMARKING/ROSMAP/gene_expression_data/ML-Baseline.json'
[ 2025-09-22 16:36:09,058 ] 60 root - INFO - Loaded JSON data from '../BENCHMARKING/ROSMAP/miRNA_and_gene_expression_data/ML-Baseline.json'
[ 2025-09-22 16:36:51,000 ] 60 root - INFO - Loaded JSON data from '../BENCHMARKING/ROSMAP/miRNA_and_dna_methylation_data/ML-Baseline.json'
[ 2025-09-22 16:37:22,086 ] 60 root - INFO - Loaded JSON data from '../BENCHMARKING/ROSMAP/gene_expression_and_dna_methylation_data/ML-Baseline.json'
[ 2025-09-22 16:37:27,776 ] 60 root - INFO - Loaded JSON data from '../BENCHMARKING/ROSMAP/miRNA_and_gene_expression_and_dna_methylation_data/ML-Baseline.json'
[ 2025-09-22 16:37:59,304 ] 60 root - INFO - Loaded JSON data from '../BENCHMARKING/MayoRNASeq/metabolomics_data/ML-Baseline.json'
[ 2025-09-22 16:37:59,376 ] 60 root - INFO - Loaded JSON data from '../BENCHMARKING/MayoRNASeq/gene_expression_data/ML-Baseline.json'
[ 2025-09-22 16:38:17,155 ] 60 root - INFO - Loaded JSON data from '../BENCHMARKING/MayoRNASeq/proteomics_data/ML-Baseline.json'
[ 2025-09-22 16:38:23,318 ] 60 root - INFO - Loaded JSON data from '../BENCHMARKING/MayoRNASeq/gene_expression_and_proteomics_data/ML-Baseline.json'
[ 2025-09-22 16:38:41,204 ] 60 root - INFO - Loaded JSON data from '../BENCHMARKING/MayoRNASeq/metabolomics_and_gene_expression_data/ML-Baseline.json'
[ 2025-09-22 16:38:51,876 ] 60 root - INFO - Loaded JSON data from '../BENCHMARKING/MayoRNASeq/metabolomics_and_proteomics_data/ML-Baseline.json'
[ 2025-09-22 16:39:08,002 ] 60 root - INFO - Loaded JSON data from '../BENCHMARKING/MayoRNASeq/metabolomics_and_gene_expression_and_proteomics_data/ML-Baseline.json'
[ 2025-09-22 16:39:18,727 ] 60 root - INFO - Loaded JSON data from '../BENCHMARKING/BRCA/miRNA_data/ML-Baseline.json'
[ 2025-09-22 16:39:27,055 ] 60 root - INFO - Loaded JSON data from '../BENCHMARKING/BRCA/dna_methylation_data/ML-Baseline.json'
[ 2025-09-22 16:39:37,082 ] 60 root - INFO - Loaded JSON data from '../BENCHMARKING/BRCA/gene_expression_data/ML-Baseline.json'
[ 2025-09-22 16:39:59,976 ] 60 root - INFO - Loaded JSON data from '../BENCHMARKING/BRCA/miRNA_and_gene_expression_data/ML-Baseline.json'
[ 2025-09-22 16:40:49,950 ] 60 root - INFO - Loaded JSON data from '../BENCHMARKING/BRCA/miRNA_and_dna_methylation_data/ML-Baseline.json'
[ 2025-09-22 16:41:16,327 ] 60 root - INFO - Loaded JSON data from '../BENCHMARKING/BRCA/gene_expression_and_dna_methylation_data/ML-Baseline.json'
[ 2025-09-22 16:42:18,995 ] 60 root - INFO - Loaded JSON data from '../BENCHMARKING/BRCA/miRNA_and_gene_expression_and_dna_methylation_data/ML-Baseline.json'
